name,raw,source_report
Fractional Jobs CROs,"Fractional Jobs CROs | [fractionaljobs.io](https://www.fractionaljobs.io) | [Yes](https://www.fractionaljobs.io/blog/the-5-best-fractional-cro-platforms-and-services-2026) | Directory model; $3,000 - $5,000 one-time placement fee83.",gemini-discovery
Upwork CROs,"Upwork CROs | [upwork.com](https://www.upwork.com) | [Yes](https://hypernestlabs.com/insights/best-fractional-cto-services-2026) | Dependent on talent, $75 - $250+/hr15.",gemini-discovery
Toptal CROs,Toptal CROs | [toptal.com](https://www.toptal.com) | [Yes](https://hypernestlabs.com/insights/best-fractional-cto-services-2026) | Premium talent placement at $200+/hr15.,gemini-discovery
Braintrust CROs,Braintrust CROs | [usebraintrust.com](https://usebraintrust.com) | [Yes](https://hypernestlabs.com/insights/best-fractional-cto-services-2026) | Variable rate set by talent + 10-15% platform margin15.,gemini-discovery
MentorCruise CROs,MentorCruise CROs | [mentorcruise.com](https://mentorcruise.com) | [Yes](https://hypernestlabs.com/insights/best-fractional-cto-services-2026) | $100 - $500/mo (best for light mentoring of junior sales teams)15.,gemini-discovery
GigX CROs,GigX CROs | [gigx.com](https://gigx.com) | [Yes](https://www.fractionaljobs.io/blog/the-5-best-fractional-cto-platforms-and-services-2026) | Free self-service directory26.,gemini-discovery
A.Team CROs,A.Team CROs | [a.team](https://a.team) | [Yes](https://uxcontinuum.com/blog/startup-cto/fractional-cto-services-compared-2026) | Marketplace tier pricing37.,gemini-discovery
Gun.io CROs,Gun.io CROs | [gun.io](https://gun.io) | [Yes](https://uxcontinuum.com/blog/startup-cto/fractional-cto-services-compared-2026) | Hourly/project marketplace37.,gemini-discovery
FindaFractional CROs,FindaFractional CROs | [findafractional.co.uk](https://www.findafractional.co.uk/businesses) | [Yes](https://www.findafractional.co.uk/businesses) | Zero recruitment fees; pay direct to the executive13.,gemini-discovery
Fractional.quest CROs,"Fractional.quest CROs | [fractional.quest](https://fractional.quest) | [Yes](https://fractional.quest/top-fractional-executive-search-firms) | Typical day rates mapped at £800 - £1,500/day28.",gemini-discovery
Michel Fortin,"Michel Fortin | [michelfortin.com](https://michelfortin.com) | No | Consultant specializing in pricing, discounting, and win-rate improvement96.",gemini-discovery
Jake Jorgovan,Jake Jorgovan | [jake-jorgovan.com](https://jake-jorgovan.com) | No | Curates a list of top interim/fractional CRO consultants97.,gemini-discovery
LCX Consulting,LCX Consulting | [lcxconsulting.com](https://lcxconsulting.com/) | No | Specialized B2B Fractional CRO Leadership98.,gemini-discovery
FractionalCRO.org,FractionalCRO.org | [fractionalcro.org](https://www.fractionalcro.org/) | No | Independent network focused on GTM strategy and RevOps execution92.,gemini-discovery
RevPilots,RevPilots | [revpilots.com](https://www.fractionaljobs.io/blog/the-5-best-fractional-cro-platforms-and-services-2026) | No | Sales recruiting and fractional placement firm83.,gemini-discovery
Vendux,Vendux | [vendux.org](https://www.fractionaljobs.io/blog/the-5-best-fractional-cro-platforms-and-services-2026) | No | Quoted per engagement83.,gemini-discovery
The Roster Agency CROs,The Roster Agency CROs | [theroster.agency](https://theroster.agency/operations) | No | Staffing agency providing Fractional CRO and operational talent82.,gemini-discovery
TechCXO CROs,TechCXO CROs | [techcxo.com](https://techcxo.com) | No | Enterprise-grade retainers focused on later-stage/PE companies15.,gemini-discovery
Cerius Executives CROs,Cerius Executives CROs | [ceriusexecutives.com](https://ceriusexecutives.com) | No | Non-public engagement pricing26.,gemini-discovery
Bolster CROs,Bolster CROs | [bolster.com](https://bolster.com) | No | Network placement model12.,gemini-discovery
Spencer Stuart CROs,"Spencer Stuart CROs | [spencerstuart.com](https://spencerstuart.com) | No | Global retained search, highly opaque28.",gemini-discovery
Odgers Interim CROs,Odgers Interim CROs | [odgersinterim.com](https://odgersinterim.com) | No | Specializes heavily in full-time interim leadership28.,gemini-discovery
Fortium Partners CROs,Fortium Partners CROs | [fortiumpartners.com](https://fortiumpartners.com) | No | High-level executive deployments42.,gemini-discovery
